"Country","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"Mozambique","61","79","88","88","88","88","88","88","85","81","78","74","74","","","","","","","","",""
"Myanmar","37","84","90","91","89","90","89","88","75","","","","","","","","","","","","",""
"Namibia","93","93","87","89","88","85","92","88","89","84","82","83","","","","","","","","","",""
"Nauru","98","95","96","90","87","97","91","95","87","79","99","99","99","","","","","","","","",""
"Nepal","91","84","93","91","90","87","91","92","92","90","92","","","","","","","","","","",""
"Netherlands","94","94","94","93","94","95","96","96","97","97","97","97","97","97","97","96","96","97","97","96","96","96"
"New Zealand","90","92","91","92","93","92","92","93","92","93","94","89","98","86","78","80","80","83","85","88","90","90"
"Nicaragua","87","92","98","98","98","98","98","98","98","98","98","98","98","97","93","88","86","79","86","85","87","83"
"Niger","82","81","81","79","85","80","84","81","73","71","75","70","71","","","","","","","","",""
"Nigeria","56","56","56","55","55","53","42","43","27","10","","","","","","","","","","","",""
"Niue","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","95","99","99","99"
"Norway","97","97","97","96","96","96","95","94","95","95","95","94","95","94","95","95","93","94","94","95","93","93"
"occupied Palestinian territory, including east Jerusalem","95","98","99","99","99","99","99","99","99","97","99","99","97","96","96","","","","","","",""
"Oman","99","99","99","99","99","99","99","99","98","98","99","99","98","99","99","98","99","99","99","97","",""
"Pakistan","83","77","84","80","75","75","72","69","65","64","63","52","52","","","","","","","","",""
"Palau","89","89","93","92","95","98","89","99","99","89","85","66","48","92","95","98","98","98","94","90","93","96"
"Panama","74","74","88","88","81","86","73","80","80","85","87","94","85","86","85","88","92","95","98","99","99",""
"Papua New Guinea","31","39","35","35","36","46","52","56","66","65","68","67","73","","","","","","","","",""
"Paraguay","70","79","86","88","91","92","92","93","90","91","91","91","85","87","88","92","93","92","86","","",""
"Peru","82","72","88","84","83","89","90","88","88","95","91","93","93","93","93","94","94","96","41","40","38","43"
"Philippines","57","71","71","75","80","84","74","79","84","89","14","2","","","","","","","","","",""
"Poland","90","90","95","95","96","98","98","98","99","99","99","99","99","98","88","31","22","","","","",""
"Portugal","99","99","99","99","98","98","98","98","98","98","97","97","96","97","97","97","93","95","99","94","90","86"
"Qatar","98","89","98","98","97","98","99","89","93","97","93","97","99","97","94","96","97","96","92","96","93","80"
"Republic of Korea","98","98","98","98","97","97","98","97","","","","","","","","","","","","","",""
"Republic of Moldova","87","86","90","92","88","89","86","89","89","90","78","63","47","","","","","","","","",""
"North Macedonia","81","84","92","92","91","94","89","94","97","95","96","89","82","13","","","","","","","",""
"Romania","86","87","88","86","82","89","89","90","91","92","89","","","","","","","","","","",""
"Rwanda","88","91","98","97","98","98","98","98","98","98","97","97","97","97","97","99","95","89","96","88","",""
"Saint Kitts and Nevis","96","99","97","98","98","98","94","98","97","98","98","96","97","97","99","99","99","95","99","95","99","12"
"Saint Lucia","80","86","92","95","80","95","99","99","99","98","99","97","95","96","99","85","95","91","84","14","",""
"Saint Vincent and the Grenadines","97","97","97","97","99","99","99","98","98","97","96","99","99","99","99","99","99","99","27","","",""
"Samoa","85","89","68","44","67","73","84","81","85","82","74","70","55","32","","","","","","","",""
"San Marino","90","88","86","91","88","85","83","82","80","87","92","88","88","90","89","91","93","93","94","95","95","95"
"Sao Tome and Principe","97","96","95","95","95","96","96","95","97","96","96","98","","","","","","","","","",""
"Saudi Arabia","97","95","96","96","98","98","98","98","98","98","98","98","98","98","96","96","96","96","95","95","",""
"Senegal","86","92","96","92","93","93","89","89","92","91","92","89","86","88","94","89","18","","","","",""
"Serbia","92","92","97","96","95","92","95","94","92","90","93","91","94","98","89","42","","","","","",""
"Seychelles","94","97","99","99","97","96","97","99","98","98","99","99","","","","","","","","","",""
"Sierra Leone","92","91","95","93","90","84","86","83","92","91","89","86","84","77","63","","","","","","",""
"Singapore","96","96","96","96","96","96","96","86","85","","","","","","","","","","","","",""
"Slovakia","97","97","97","96","96","96","96","97","98","99","99","99","99","99","99","99","99","99","99","92","70","59"
"Slovenia","86","95","95","93","94","94","95","95","95","96","96","96","96","97","97","97","95","94","95","93","93",""
"Solomon Islands","87","94","94","85","83","94","87","77","83","92","92","87","87","89","","","","","","","",""
"Somalia","42","42","42","42","42","42","42","42","42","","","","","","","","","","","","",""
"South Africa","86","84","85","82","84","85","85","85","79","69","71","72","77","80","84","84","82","75","69","70","71","73"
"South Sudan","49","49","49","49","47","45","31","","","","","","","","","","","","","","",""
"Spain","91","98","96","96","95","97","97","96","96","96","97","97","96","97","96","98","96","97","98","97","96","92"
"Sri Lanka","96","96","99","99","99","99","99","99","99","99","99","99","","","","","","","","","",""
"Sudan","84","90","93","93","95","93","93","94","93","92","93","75","72","78","","","","","","","",""
"Suriname","72","51","77","81","67","77","73","71","76","76","80","84","87","84","84","84","83","","","","",""
"Sweden","98","97","97","97","97","98","98","97","98","98","98","98","98","98","98","98","98","99","99","98","98","98"
"Switzerland","95","96","95","95","95","95","95","95","95","95","95","95","95","95","93","93","93","91","91","91","91","91"
"Syrian Arab Republic","48","49","54","47","48","42","41","43","41","45","72","80","80","79","80","80","80","81","82","83","84",""
"Tajikistan","97","97","97","96","96","97","96","97","96","94","96","93","93","46","","","","","","","",""
"Thailand","76","45","","","","","","","","","","","","","","","","","","","",""
"Timor-Leste","86","86","90","83","83","79","76","77","82","","","","","","","","","","","","",""
"Togo","83","82","84","81","83","82","82","84","84","84","85","83","78","24","","","","","","","",""
"Tonga","99","99","99","99","99","96","96","98","99","95","99","99","99","99","99","99","99","","","","",""
"Trinidad and Tobago","94","96","93","99","89","97","90","92","92","92","90","90","90","90","88","89","95","94","92","59","85","74"
"Tunisia","97","97","98","97","98","98","98","98","98","97","43","","","","","","80","97","96","","",""
"Türkiye","95","98","99","98","96","98","97","96","98","97","97","97","96","96","76","","","","","","",""
"Turkmenistan","97","99","99","99","99","98","99","97","97","97","71","58","","","","","","","","","",""
"Tuvalu","94","93","92","89","96","94","96","89","90","97","96","89","84","","","","","","","","",""
"Uganda","91","89","93","93","94","93","89","85","84","83","82","80","79","71","73","64","64","62","44","29","",""
"Ukraine","87","85","80","58","39","47","38","38","83","83","26","51","66","81","46","11","","","","","",""
"United Arab Emirates","96","90","99","99","98","99","99","99","98","96","95","94","93","92","92","92","94","94","94","94","92","92"
"United Kingdom of Great Britain and Northern Ireland","93","93","93","94","94","94","95","95","95","95","95","94","93","92","92","92","91","92","91","91","91","91"
"United Republic of Tanzania","81","86","89","89","90","92","96","97","91","92","90","91","85","","","","","","","","",""
"United States of America","90","90","91","92","92","93","93","93","93","93","94","90","84","91","93","93","94","94","94","93","93","93"
"Uruguay","89","92","94","91","93","95","95","95","94","95","95","95","95","94","94","95","96","94","91","95","90","88"
"Uzbekistan","98","95","96","98","99","99","99","99","99","99","99","99","98","","","","","","","","",""
"Vanuatu","62","78","90","85","85","81","80","86","86","64","64","","","","","","","","","","",""
"Venezuela (Bolivarian Republic of)","56","54","64","60","66","84","87","78","82","81","78","78","84","51","62","71","87","60","54","59","34","2"
"Viet Nam","83","94","89","75","94","96","97","95","59","97","95","63","","","","","","","","","",""
"Yemen","72","72","73","65","68","71","69","73","73","67","69","75","74","75","75","73","43","","","","",""
"Zambia","91","84","88","90","94","95","90","86","79","78","81","83","94","87","80","81","82","83","","","",""
"Zimbabwe","86","86","90","89","89","90","87","91","95","97","94","90","73","75","","","","","","","",""
