"Country","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"Seychelles","86","99","99","97","99","99","98","98","97","99","99","98","99","98","99","99","99","99","99","99","98",""
"Sierra Leone","67","67","72","64","55","50","60","","","","","","","","","","","","","","",""
"Singapore","84","84","84","84","90","88","90","90","90","95","96","96","95","96","96","96","95","96","96","96","96","98"
"Slovakia","96","98","98","97","97","97","98","98","99","99","99","99","99","99","98","99","98","98","99","99","99","99"
"Slovenia","91","91","94","94","94","93","96","94","95","96","96","96","98","98","98","99","99","99","98","98","98","98"
"Solomon Islands","40","51","54","54","","","","","","","","","","","","","","","","","",""
"Somalia","4","","","","","","","","","","","","","","","","","","","","",""
"South Africa","82","76","79","75","78","69","59","55","50","53","54","55","63","54","49","53","48","51","52","46","54","62"
"Spain","91","94","94","94","93","95","94","93","91","90","91","92","90","94","95","94","92","91","","","",""
"Sri Lanka","97","96","99","99","99","99","99","99","99","99","99","99","97","97","97","98","99","95","90","92","52",""
"Sudan","63","68","74","72","72","69","69","61","57","24","","","","","","","","","","","",""
"Suriname","43","24","32","31","32","34","21","15","15","","","","","","","","","","","","",""
"Sweden","91","92","93","94","95","95","95","95","95","95","95","94","95","94","95","95","95","95","95","94","94","94"
"Switzerland","94","93","90","90","90","87","87","87","86","86","86","83","83","83","71","71","71","","","","",""
"Syrian Arab Republic","53","53","54","54","59","52","47","49","51","53","71","82","82","81","81","81","81","82","83","84","83","80"
"Tajikistan","96","97","97","97","98","97","94","98","92","97","96","95","93","87","90","96","92","98","94","93","72","59"
"Thailand","87","87","87","87","95","95","95","94","94","91","91","91","91","91","94","94","95","95","92","89","86","99"
"Timor-Leste","78","78","80","54","57","30","","","","","","","","","","","","","","","",""
"Togo","50","46","53","","","","","","","","","","","","","","","","","","",""
"Tonga","99","99","99","99","99","99","99","92","99","95","99","98","98","98","99","99","98","99","96","","",""
"Trinidad and Tobago","88","90","92","92","90","65","79","93","86","85","83","82","80","81","87","78","84","78","73","77","80",""
"Tunisia","98","96","97","99","97","97","98","95","98","96","96","98","97","99","98","98","99","99","99","98","99","98"
"Türkiye","93","93","88","87","86","85","86","88","98","85","86","91","88","92","94","84","98","97","97","83","91",""
"Turkmenistan","98","99","99","99","99","99","99","99","99","99","99","99","99","99","98","99","98","90","89","87","94","92"
"Tuvalu","84","85","92","81","94","92","86","91","84","93","90","87","84","82","74","83","86","90","93","97","99",""
"Ukraine","86","82","92","90","84","31","57","57","54","54","56","41","68","95","96","98","96","97","99","98","98","99"
"United Arab Emirates","96","92","94","95","97","98","99","99","98","96","95","94","93","92","93","93","94","92","92","92","92","92"
"United Kingdom of Great Britain and Northern Ireland","87","87","87","88","88","89","89","89","88","87","85","84","79","75","74","75","75","76","77","74","74","76"
"United Republic of Tanzania","62","67","72","68","67","63","53","29","","","","","","","","","","","","","",""
"United States of America","95","95","95","94","94","94","93","92","91","91","90","89","88","87","86","86","86","86","86","86","86","85"
"Uruguay","84","91","99","91","92","92","93","93","92","","","","","","","","","","","","",""
"Uzbekistan","99","99","99","99","99","99","99","99","99","99","99","54","8","26","44","63","81","99","98","97","98","98"
"Venezuela (Bolivarian Republic of)","37","28","13","39","59","53","52","50","38","33","26","31","6","","","","","","","","",""
"Viet Nam","85","93","92","90","93","95","92","94","86","83","93","98","96","97","18","","","","","","",""
"Yemen","52","46","46","46","46","49","41","45","47","40","46","43","38","35","32","26","21","","","","",""
"Zambia","81","74","66","65","64","58","47","33","","","","","","","","","","","","","",""
"Zimbabwe","74","74","75","78","78","63","","","","","","","","","","","","","","","",""
