"Country","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980"
"Madagascar","75","78","78","78","78","78","78","78","78","78","76","76","76","72","71","66","63","62","61","60","58","54","48","47","35","38","36","33","35","35","45","44","42","37","35","26","20","15","1","",""
"Malawi","90","90","89","89","89","89","89","89","89","87","87","87","87","86","88","86","86","87","85","87","84","84","89","87","80","87","85","82","79","83","81","77","69","50","50","26","28","1","","",""
"Malaysia","95","95","92","92","90","90","90","90","90","90","87","87","87","87","88","88","88","86","86","87","88","85","81","85","85","84","83","84","85","83","82","81","66","60","56","52","19","23","21","22","20"
"Maldives","99","99","99","99","99","99","95","95","95","95","95","95","95","94","94","94","94","94","94","95","95","93","91","93","92","92","91","91","90","89","86","69","53","47","28","25","12","20","28","4","8"
"Mali","87","85","85","85","85","85","85","85","89","89","85","92","92","90","89","86","86","60","59","52","50","43","38","37","36","36","34","36","36","45","45","36","24","10","5","4","3","2","2","1",""
"Mauritania","83","80","80","80","80","80","80","80","80","80","87","87","77","77","62","59","62","58","59","51","44","40","57","70","45","43","41","36","40","32","24","24","20","32","23","17","16","16","8","5",""
"Mauritius","97","95","95","95","95","95","95","95","95","95","95","87","87","86","85","86","89","79","79","79","79","78","78","78","79","78","78","77","77","69","61","62","71","62","53","18","9","1","1","1","1"
"Mexico","96","96","96","96","90","90","88","88","88","88","88","87","87","87","87","86","85","88","85","83","81","79","77","75","73","71","69","67","64","62","59","56","52","48","42","36","30","23","17","10","5"
"Morocco","90","90","88","88","88","88","88","89","89","89","89","87","90","88","87","89","84","84","84","83","86","55","53","60","63","80","82","84","76","73","66","63","47","29","","","","","","",""
"Mozambique","86","86","86","86","83","83","83","83","83","83","83","83","83","82","81","77","62","60","64","68","75","69","61","58","54","53","41","44","47","46","37","41","33","33","33","49","47","42","36","",""
"Myanmar","90","90","90","90","87","87","87","87","93","93","93","93","93","93","92","89","87","86","85","81","79","76","82","84","82","80","76","82","81","80","62","49","37","35","31","24","21","15","12","6","3"
"Namibia","90","88","88","88","88","85","85","83","83","83","83","82","82","82","81","80","79","78","80","86","74","83","77","79","76","40","61","46","38","36","","","","","","","","","","",""
"Nepal","89","89","89","89","82","82","82","82","82","82","81","81","81","84","86","88","90","90","85","76","67","62","61","59","49","48","47","45","36","36","35","32","37","25","29","18","15","13","8","4","1"
"Nicaragua","90","90","90","90","81","81","81","81","81","81","81","80","80","80","85","87","91","88","87","85","83","80","78","75","71","68","64","59","50","45","39","34","32","30","26","21","16","12","7","3",""
